Year,Jury or Televoting,From country,To country,Points
1994,J,Austria,Romania,0
1994,J,Austria,Russia,6
1994,J,Austria,Slovakia,0
1994,J,Austria,Spain,0
1994,J,Austria,Sweden,5
1994,J,Austria,Switzerland,0
1994,J,Austria,The Netherlands,4
1994,J,Austria,United Kingdom,1
1994,J,Bosnia & Herzegovina,Austria,5
1994,J,Bosnia & Herzegovina,Croatia,0
1994,J,Bosnia & Herzegovina,Cyprus,0
1994,J,Bosnia & Herzegovina,Estonia,0
1994,J,Bosnia & Herzegovina,Finland,1
1994,J,Bosnia & Herzegovina,France,2
1994,J,Bosnia & Herzegovina,Germany,7
1994,J,Bosnia & Herzegovina,Greece,0
1994,J,Bosnia & Herzegovina,Hungary,3
1994,J,Bosnia & Herzegovina,Iceland,0
1994,J,Bosnia & Herzegovina,Ireland,10
1994,J,Bosnia & Herzegovina,Lithuania,0
1994,J,Bosnia & Herzegovina,Malta,12
1994,J,Bosnia & Herzegovina,Norway,6
1994,J,Bosnia & Herzegovina,Poland,8
1994,J,Bosnia & Herzegovina,Portugal,0
1994,J,Bosnia & Herzegovina,Romania,0
1994,J,Bosnia & Herzegovina,Russia,0
1994,J,Bosnia & Herzegovina,Slovakia,0
1994,J,Bosnia & Herzegovina,Spain,0
1994,J,Bosnia & Herzegovina,Sweden,0
1994,J,Bosnia & Herzegovina,Switzerland,0
1994,J,Bosnia & Herzegovina,The Netherlands,0
1994,J,Bosnia & Herzegovina,United Kingdom,4
1994,J,Croatia,Austria,2
1994,J,Croatia,Bosnia & Herzegovina,4
1994,J,Croatia,Cyprus,0
1994,J,Croatia,Estonia,0
1994,J,Croatia,Finland,0
1994,J,Croatia,France,0
1994,J,Croatia,Germany,10
1994,J,Croatia,Greece,0
1994,J,Croatia,Hungary,5
1994,J,Croatia,Iceland,0
1994,J,Croatia,Ireland,12
1994,J,Croatia,Lithuania,0
1994,J,Croatia,Malta,7
1994,J,Croatia,Norway,3
1994,J,Croatia,Poland,8
1994,J,Croatia,Portugal,0
1994,J,Croatia,Romania,0
1994,J,Croatia,Russia,1
1994,J,Croatia,Slovakia,0
1994,J,Croatia,Spain,0
1994,J,Croatia,Sweden,0
1994,J,Croatia,Switzerland,0
1994,J,Croatia,The Netherlands,0
1994,J,Croatia,United Kingdom,6
1994,J,Cyprus,Austria,7
1994,J,Cyprus,Bosnia & Herzegovina,0
1994,J,Cyprus,Croatia,0
1994,J,Cyprus,Estonia,0
1994,J,Cyprus,Finland,0
1994,J,Cyprus,France,4
1994,J,Cyprus,Germany,6
1994,J,Cyprus,Greece,12
1994,J,Cyprus,Hungary,0
1994,J,Cyprus,Iceland,0
1994,J,Cyprus,Ireland,8
1994,J,Cyprus,Lithuania,0
1994,J,Cyprus,Malta,2
1994,J,Cyprus,Norway,10
1994,J,Cyprus,Poland,1
1994,J,Cyprus,Portugal,0
1994,J,Cyprus,Romania,0
1994,J,Cyprus,Russia,3
1994,J,Cyprus,Slovakia,0
1994,J,Cyprus,Spain,0
1994,J,Cyprus,Sweden,0
1994,J,Cyprus,Switzerland,0
1994,J,Cyprus,The Netherlands,0
1994,J,Cyprus,United Kingdom,5
1994,J,Estonia,Austria,0
1994,J,Estonia,Bosnia & Herzegovina,0
1994,J,Estonia,Croatia,0
1994,J,Estonia,Cyprus,0
1994,J,Estonia,Finland,0
1994,J,Estonia,France,6
1994,J,Estonia,Germany,3
1994,J,Estonia,Greece,0
1994,J,Estonia,Hungary,4
1994,J,Estonia,Iceland,0
1994,J,Estonia,Ireland,10
1994,J,Estonia,Lithuania,0
1994,J,Estonia,Malta,7
1994,J,Estonia,Norway,8
1994,J,Estonia,Poland,12
1994,J,Estonia,Portugal,0
1994,J,Estonia,Romania,0
1994,J,Estonia,Russia,1
1994,J,Estonia,Slovakia,0
1994,J,Estonia,Spain,0
1994,J,Estonia,Sweden,2
1994,J,Estonia,Switzerland,0
1994,J,Estonia,The Netherlands,0
1994,J,Estonia,United Kingdom,5
1994,J,Finland,Austria,0
1994,J,Finland,Bosnia & Herzegovina,2
1994,J,Finland,Croatia,0
1994,J,Finland,Cyprus,10
1994,J,Finland,Estonia,0
1994,J,Finland,France,0
1994,J,Finland,Germany,3
1994,J,Finland,Greece,4
1994,J,Finland,Hungary,12
1994,J,Finland,Iceland,1
1994,J,Finland,Ireland,7
1994,J,Finland,Lithuania,0
1994,J,Finland,Malta,6
1994,J,Finland,Norway,0
1994,J,Finland,Poland,8
1994,J,Finland,Portugal,5
1994,J,Finland,Romania,0
1994,J,Finland,Russia,0
1994,J,Finland,Slovakia,0
1994,J,Finland,Spain,0
1994,J,Finland,Sweden,0
1994,J,Finland,Switzerland,0
1994,J,Finland,The Netherlands,0
1994,J,Finland,United Kingdom,0
1994,J,France,Austria,0
1994,J,France,Bosnia & Herzegovina,10
1994,J,France,Croatia,0
1994,J,France,Cyprus,3
1994,J,France,Estonia,0
1994,J,France,Finland,0
1994,J,France,Germany,0
1994,J,France,Greece,0
1994,J,France,Hungary,7
1994,J,France,Iceland,4
1994,J,France,Ireland,8
1994,J,France,Lithuania,0
1994,J,France,Malta,0
1994,J,France,Norway,0
1994,J,France,Poland,12
1994,J,France,Portugal,6
1994,J,France,Romania,0
1994,J,France,Russia,1
1994,J,France,Slovakia,0
1994,J,France,Spain,2
1994,J,France,Sweden,0
1994,J,France,Switzerland,5
1994,J,France,The Netherlands,0
1994,J,France,United Kingdom,0
1994,J,Germany,Austria,0
1994,J,Germany,Bosnia & Herzegovina,0
1994,J,Germany,Croatia,0
1994,J,Germany,Cyprus,0
1994,J,Germany,Estonia,0
1994,J,Germany,Finland,0
1994,J,Germany,France,8
1994,J,Germany,Greece,1
1994,J,Germany,Hungary,7
1994,J,Germany,Iceland,0
1994,J,Germany,Ireland,12
1994,J,Germany,Lithuania,0
1994,J,Germany,Malta,3
1994,J,Germany,Norway,2
1994,J,Germany,Poland,10
1994,J,Germany,Portugal,0
1994,J,Germany,Romania,0
1994,J,Germany,Russia,6
1994,J,Germany,Slovakia,0
1994,J,Germany,Spain,0
1994,J,Germany,Sweden,5
1994,J,Germany,Switzerland,0
1994,J,Germany,The Netherlands,0
1994,J,Germany,United Kingdom,4
1994,J,Greece,Austria,0
1994,J,Greece,Bosnia & Herzegovina,0
1994,J,Greece,Croatia,5
1994,J,Greece,Cyprus,12
1994,J,Greece,Estonia,2
1994,J,Greece,Finland,10
1994,J,Greece,France,0
1994,J,Greece,Germany,0
1994,J,Greece,Hungary,0
1994,J,Greece,Iceland,0
1994,J,Greece,Ireland,0
1994,J,Greece,Lithuania,0
1994,J,Greece,Malta,7
1994,J,Greece,Norway,1
1994,J,Greece,Poland,0
1994,J,Greece,Portugal,0
1994,J,Greece,Romania,6
1994,J,Greece,Russia,4
1994,J,Greece,Slovakia,3
1994,J,Greece,Spain,8
1994,J,Greece,Sweden,0
1994,J,Greece,Switzerland,0
1994,J,Greece,The Netherlands,0
1994,J,Greece,United Kingdom,0
1994,J,Hungary,Austria,0
1994,J,Hungary,Bosnia & Herzegovina,1
1994,J,Hungary,Croatia,0
1994,J,Hungary,Cyprus,0
1994,J,Hungary,Estonia,0
1994,J,Hungary,Finland,0
1994,J,Hungary,France,0
1994,J,Hungary,Germany,12
1994,J,Hungary,Greece,4
1994,J,Hungary,Iceland,0
1994,J,Hungary,Ireland,10
1994,J,Hungary,Lithuania,0
1994,J,Hungary,Malta,0
1994,J,Hungary,Norway,5
1994,J,Hungary,Poland,8
1994,J,Hungary,Portugal,7
1994,J,Hungary,Romania,0
1994,J,Hungary,Russia,6
1994,J,Hungary,Slovakia,0
1994,J,Hungary,Spain,0
1994,J,Hungary,Sweden,2
1994,J,Hungary,Switzerland,0
1994,J,Hungary,The Netherlands,0
1994,J,Hungary,United Kingdom,3
1994,J,Iceland,Austria,0
1994,J,Iceland,Bosnia & Herzegovina,0
1994,J,Iceland,Croatia,0
1994,J,Iceland,Cyprus,3
1994,J,Iceland,Estonia,0
1994,J,Iceland,Finland,0
1994,J,Iceland,France,5
1994,J,Iceland,Germany,7
1994,J,Iceland,Greece,0
1994,J,Iceland,Hungary,10
1994,J,Iceland,Ireland,12
1994,J,Iceland,Lithuania,0
1994,J,Iceland,Malta,0
1994,J,Iceland,Norway,1
1994,J,Iceland,Poland,6
1994,J,Iceland,Portugal,8
1994,J,Iceland,Romania,0
1994,J,Iceland,Russia,4
1994,J,Iceland,Slovakia,0
1994,J,Iceland,Spain,0
1994,J,Iceland,Sweden,2
1994,J,Iceland,Switzerland,0
1994,J,Iceland,The Netherlands,0
1994,J,Iceland,United Kingdom,0
1994,J,Ireland,Austria,0
1994,J,Ireland,Bosnia & Herzegovina,0
1994,J,Ireland,Croatia,0
1994,J,Ireland,Cyprus,0
1994,J,Ireland,Estonia,0
1994,J,Ireland,Finland,0
1994,J,Ireland,France,2
1994,J,Ireland,Germany,5
1994,J,Ireland,Greece,0
1994,J,Ireland,Hungary,12
1994,J,Ireland,Iceland,6
1994,J,Ireland,Lithuania,0
1994,J,Ireland,Malta,10
1994,J,Ireland,Norway,3
1994,J,Ireland,Poland,7
1994,J,Ireland,Portugal,8
1994,J,Ireland,Romania,0
1994,J,Ireland,Russia,4
1994,J,Ireland,Slovakia,0
1994,J,Ireland,Spain,0
1994,J,Ireland,Sweden,0
1994,J,Ireland,Switzerland,0
1994,J,Ireland,The Netherlands,0
1994,J,Ireland,United Kingdom,1
1994,J,Lithuania,Austria,0
1994,J,Lithuania,Bosnia & Herzegovina,0
1994,J,Lithuania,Croatia,0
1994,J,Lithuania,Cyprus,0
1994,J,Lithuania,Estonia,0
1994,J,Lithuania,Finland,0
1994,J,Lithuania,France,8
1994,J,Lithuania,Germany,4
1994,J,Lithuania,Greece,0
1994,J,Lithuania,Hungary,0
1994,J,Lithuania,Iceland,3
1994,J,Lithuania,Ireland,10
1994,J,Lithuania,Malta,7
1994,J,Lithuania,Norway,1
1994,J,Lithuania,Poland,12
1994,J,Lithuania,Portugal,0
1994,J,Lithuania,Romania,2
1994,J,Lithuania,Russia,6
1994,J,Lithuania,Slovakia,0
1994,J,Lithuania,Spain,0
1994,J,Lithuania,Sweden,5
1994,J,Lithuania,Switzerland,0
1994,J,Lithuania,The Netherlands,0
1994,J,Lithuania,United Kingdom,0
1994,J,Malta,Austria,0
1994,J,Malta,Bosnia & Herzegovina,7
1994,J,Malta,Croatia,10
1994,J,Malta,Cyprus,0
1994,J,Malta,Estonia,0
1994,J,Malta,Finland,0
1994,J,Malta,France,0
1994,J,Malta,Germany,0
1994,J,Malta,Greece,4
1994,J,Malta,Hungary,0
1994,J,Malta,Iceland,0
1994,J,Malta,Ireland,5
1994,J,Malta,Lithuania,0
1994,J,Malta,Norway,0
1994,J,Malta,Poland,2
1994,J,Malta,Portugal,1
1994,J,Malta,Romania,6
1994,J,Malta,Russia,0
1994,J,Malta,Slovakia,12
1994,J,Malta,Spain,0
1994,J,Malta,Sweden,3
1994,J,Malta,Switzerland,8
1994,J,Malta,The Netherlands,0
1994,J,Malta,United Kingdom,0
1994,J,Norway,Austria,0
1994,J,Norway,Bosnia & Herzegovina,0
1994,J,Norway,Croatia,0
1994,J,Norway,Cyprus,5
1994,J,Norway,Estonia,0
1994,J,Norway,Finland,0
1994,J,Norway,France,7
1994,J,Norway,Germany,1
1994,J,Norway,Greece,4
1994,J,Norway,Hungary,8
1994,J,Norway,Iceland,0
1994,J,Norway,Ireland,12
1994,J,Norway,Lithuania,0
1994,J,Norway,Malta,0
1994,J,Norway,Poland,6
1994,J,Norway,Portugal,0
1994,J,Norway,Romania,0
1994,J,Norway,Russia,3
1994,J,Norway,Slovakia,0
1994,J,Norway,Spain,0
1994,J,Norway,Sweden,10
1994,J,Norway,Switzerland,0
1994,J,Norway,The Netherlands,0
1994,J,Norway,United Kingdom,2
1994,J,Poland,Austria,0
1994,J,Poland,Bosnia & Herzegovina,0
1994,J,Poland,Croatia,0
1994,J,Poland,Cyprus,5
1994,J,Poland,Estonia,0
1994,J,Poland,Finland,0
1994,J,Poland,France,6
1994,J,Poland,Germany,7
1994,J,Poland,Greece,2
1994,J,Poland,Hungary,12
1994,J,Poland,Iceland,4
1994,J,Poland,Ireland,8
1994,J,Poland,Lithuania,0
1994,J,Poland,Malta,0
1994,J,Poland,Norway,0
1994,J,Poland,Portugal,1
1994,J,Poland,Romania,0
1994,J,Poland,Russia,10
1994,J,Poland,Slovakia,0
1994,J,Poland,Spain,0
1994,J,Poland,Sweden,0
1994,J,Poland,Switzerland,0
1994,J,Poland,The Netherlands,0
1994,J,Poland,United Kingdom,3
1994,J,Portugal,Austria,0
1994,J,Portugal,Bosnia & Herzegovina,0
1994,J,Portugal,Croatia,0
1994,J,Portugal,Cyprus,5
1994,J,Portugal,Estonia,0
1994,J,Portugal,Finland,0
1994,J,Portugal,France,6
1994,J,Portugal,Germany,10
1994,J,Portugal,Greece,0
1994,J,Portugal,Hungary,1
1994,J,Portugal,Iceland,3
1994,J,Portugal,Ireland,12
1994,J,Portugal,Lithuania,0
1994,J,Portugal,Malta,4
1994,J,Portugal,Norway,0
1994,J,Portugal,Poland,7
1994,J,Portugal,Romania,0
1994,J,Portugal,Russia,2
1994,J,Portugal,Slovakia,0
1994,J,Portugal,Spain,0
1994,J,Portugal,Sweden,0
1994,J,Portugal,Switzerland,0
1994,J,Portugal,The Netherlands,0
1994,J,Portugal,United Kingdom,8
1994,J,Romania,Austria,1
1994,J,Romania,Bosnia & Herzegovina,0
1994,J,Romania,Croatia,0
1994,J,Romania,Cyprus,0
1994,J,Romania,Estonia,0
1994,J,Romania,Finland,0
1994,J,Romania,France,0
1994,J,Romania,Germany,12
1994,J,Romania,Greece,6
1994,J,Romania,Hungary,2
1994,J,Romania,Iceland,0
1994,J,Romania,Ireland,8
1994,J,Romania,Lithuania,0
1994,J,Romania,Malta,10
1994,J,Romania,Norway,4
1994,J,Romania,Poland,7
1994,J,Romania,Portugal,0
1994,J,Romania,Russia,3
1994,J,Romania,Slovakia,0
1994,J,Romania,Spain,5
1994,J,Romania,Sweden,0
1994,J,Romania,Switzerland,0
1994,J,Romania,The Netherlands,0
1994,J,Romania,United Kingdom,0
1994,J,Russia,Austria,0
1994,J,Russia,Bosnia & Herzegovina,0
1994,J,Russia,Croatia,0
1994,J,Russia,Cyprus,2
1994,J,Russia,Estonia,0
1994,J,Russia,Finland,0
1994,J,Russia,France,10
1994,J,Russia,Germany,7
1994,J,Russia,Greece,0
1994,J,Russia,Hungary,3
1994,J,Russia,Iceland,1
1994,J,Russia,Ireland,12
1994,J,Russia,Lithuania,0
1994,J,Russia,Malta,0
1994,J,Russia,Norway,8
1994,J,Russia,Poland,6
1994,J,Russia,Portugal,4
1994,J,Russia,Romania,0
1994,J,Russia,Slovakia,0
1994,J,Russia,Spain,0
1994,J,Russia,Sweden,0
1994,J,Russia,Switzerland,0
1994,J,Russia,The Netherlands,0
1994,J,Russia,United Kingdom,5
1994,J,Slovakia,Austria,0
1994,J,Slovakia,Bosnia & Herzegovina,8
1994,J,Slovakia,Croatia,12
1994,J,Slovakia,Cyprus,0
1994,J,Slovakia,Estonia,0
1994,J,Slovakia,Finland,0
1994,J,Slovakia,France,0
1994,J,Slovakia,Germany,7
1994,J,Slovakia,Greece,5
1994,J,Slovakia,Hungary,0
1994,J,Slovakia,Iceland,1
1994,J,Slovakia,Ireland,6
1994,J,Slovakia,Lithuania,0
1994,J,Slovakia,Malta,10
1994,J,Slovakia,Norway,0
1994,J,Slovakia,Poland,4
1994,J,Slovakia,Portugal,0
1994,J,Slovakia,Romania,0
1994,J,Slovakia,Russia,0
1994,J,Slovakia,Spain,2
1994,J,Slovakia,Sweden,0
1994,J,Slovakia,Switzerland,0
1994,J,Slovakia,The Netherlands,0
1994,J,Slovakia,United Kingdom,3
1994,J,Spain,Austria,0
1994,J,Spain,Bosnia & Herzegovina,7
1994,J,Spain,Croatia,0
1994,J,Spain,Cyprus,4
1994,J,Spain,Estonia,0
1994,J,Spain,Finland,0
1994,J,Spain,France,0
1994,J,Spain,Germany,8
1994,J,Spain,Greece,0
1994,J,Spain,Hungary,0
1994,J,Spain,Iceland,6
1994,J,Spain,Ireland,10
1994,J,Spain,Lithuania,0
1994,J,Spain,Malta,0
1994,J,Spain,Norway,5
1994,J,Spain,Poland,0
1994,J,Spain,Portugal,12
1994,J,Spain,Romania,0
1994,J,Spain,Russia,0
1994,J,Spain,Slovakia,0
1994,J,Spain,Sweden,1
1994,J,Spain,Switzerland,2
1994,J,Spain,The Netherlands,0
1994,J,Spain,United Kingdom,3
1994,J,Sweden,Austria,1
1994,J,Sweden,Bosnia & Herzegovina,0
1994,J,Sweden,Croatia,0
1994,J,Sweden,Cyprus,0
1994,J,Sweden,Estonia,0
1994,J,Sweden,Finland,0
1994,J,Sweden,France,3
1994,J,Sweden,Germany,6
1994,J,Sweden,Greece,2
1994,J,Sweden,Hungary,12
1994,J,Sweden,Iceland,8
1994,J,Sweden,Ireland,10
1994,J,Sweden,Lithuania,0
1994,J,Sweden,Malta,4
1994,J,Sweden,Norway,7
1994,J,Sweden,Poland,0
1994,J,Sweden,Portugal,5
1994,J,Sweden,Romania,0
1994,J,Sweden,Russia,0
1994,J,Sweden,Slovakia,0
1994,J,Sweden,Spain,0
1994,J,Sweden,Switzerland,0
1994,J,Sweden,The Netherlands,0
1994,J,Sweden,United Kingdom,0
1994,J,Switzerland,Austria,0
1994,J,Switzerland,Bosnia & Herzegovina,0
1994,J,Switzerland,Croatia,0
1994,J,Switzerland,Cyprus,2
1994,J,Switzerland,Estonia,0
1994,J,Switzerland,Finland,0
1994,J,Switzerland,France,0
1994,J,Switzerland,Germany,0
1994,J,Switzerland,Greece,0
1994,J,Switzerland,Hungary,4
1994,J,Switzerland,Iceland,3
1994,J,Switzerland,Ireland,12
1994,J,Switzerland,Lithuania,0
1994,J,Switzerland,Malta,6
1994,J,Switzerland,Norway,1
1994,J,Switzerland,Poland,10
1994,J,Switzerland,Portugal,5
1994,J,Switzerland,Romania,0
1994,J,Switzerland,Russia,0
1994,J,Switzerland,Slovakia,0
1994,J,Switzerland,Spain,0
1994,J,Switzerland,Sweden,7
1994,J,Switzerland,The Netherlands,0
1994,J,Switzerland,United Kingdom,8
1994,J,The Netherlands,Austria,0
1994,J,The Netherlands,Bosnia & Herzegovina,0
1994,J,The Netherlands,Croatia,0
1994,J,The Netherlands,Cyprus,0
1994,J,The Netherlands,Estonia,0
1994,J,The Netherlands,Finland,0
1994,J,The Netherlands,France,0
1994,J,The Netherlands,Germany,4
1994,J,The Netherlands,Greece,0
1994,J,The Netherlands,Hungary,10
1994,J,The Netherlands,Iceland,0
1994,J,The Netherlands,Ireland,12
1994,J,The Netherlands,Lithuania,0
1994,J,The Netherlands,Malta,1
1994,J,The Netherlands,Norway,7
1994,J,The Netherlands,Poland,8
1994,J,The Netherlands,Portugal,3
1994,J,The Netherlands,Romania,0
1994,J,The Netherlands,Russia,5
1994,J,The Netherlands,Slovakia,0
1994,J,The Netherlands,Spain,0
1994,J,The Netherlands,Sweden,6
1994,J,The Netherlands,Switzerland,0
1994,J,The Netherlands,United Kingdom,2
1994,J,United Kingdom,Austria,3
1994,J,United Kingdom,Bosnia & Herzegovina,0
1994,J,United Kingdom,Croatia,0
1994,J,United Kingdom,Cyprus,0
1994,J,United Kingdom,Estonia,0
1994,J,United Kingdom,Finland,0
1994,J,United Kingdom,France,0
1994,J,United Kingdom,Germany,7
1994,J,United Kingdom,Greece,0
1994,J,United Kingdom,Hungary,2
1994,J,United Kingdom,Iceland,6
1994,J,United Kingdom,Ireland,10
1994,J,United Kingdom,Lithuania,0
1994,J,United Kingdom,Malta,1
1994,J,United Kingdom,Norway,4
1994,J,United Kingdom,Poland,12
1994,J,United Kingdom,Portugal,8
1994,J,United Kingdom,Romania,0
1994,J,United Kingdom,Russia,5
1994,J,United Kingdom,Slovakia,0
1994,J,United Kingdom,Spain,0
1994,J,United Kingdom,Sweden,0
1994,J,United Kingdom,Switzerland,0
1994,J,United Kingdom,The Netherlands,0
1995,J,Austria,Belgium,1
1995,J,Austria,Bosnia & Herzegovina,0
1995,J,Austria,Croatia,0
1995,J,Austria,Cyprus,0
1995,J,Austria,Denmark,7
1995,J,Austria,France,10
1995,J,Austria,Germany,0
1995,J,Austria,Greece,5
1995,J,Austria,Hungary,0
1995,J,Austria,Iceland,4
1995,J,Austria,Ireland,0
1995,J,Austria,Israel,6
1995,J,Austria,Malta,2
1995,J,Austria,Norway,0
1995,J,Austria,Poland,0
1995,J,Austria,Portugal,0
1995,J,Austria,Russia,0
1995,J,Austria,Slovenia,3
1995,J,Austria,Spain,0
1995,J,Austria,Sweden,8
1995,J,Austria,Turkey,0
1995,J,Austria,United Kingdom,12
1995,J,Belgium,Austria,10
1995,J,Belgium,Bosnia & Herzegovina,0
1995,J,Belgium,Croatia,0
1995,J,Belgium,Cyprus,8
1995,J,Belgium,Denmark,3
1995,J,Belgium,France,6
1995,J,Belgium,Germany,0
1995,J,Belgium,Greece,2
1995,J,Belgium,Hungary,0
1995,J,Belgium,Iceland,0
1995,J,Belgium,Ireland,0
1995,J,Belgium,Israel,4
1995,J,Belgium,Malta,0
1995,J,Belgium,Norway,5
1995,J,Belgium,Poland,0
1995,J,Belgium,Portugal,0
1995,J,Belgium,Russia,0
1995,J,Belgium,Slovenia,0
1995,J,Belgium,Spain,12
1995,J,Belgium,Sweden,0
1995,J,Belgium,Turkey,1
1995,J,Belgium,United Kingdom,7
1995,J,Bosnia & Herzegovina,Austria,0
1995,J,Bosnia & Herzegovina,Belgium,0
1995,J,Bosnia & Herzegovina,Croatia,10
1995,J,Bosnia & Herzegovina,Cyprus,0
1995,J,Bosnia & Herzegovina,Denmark,3
1995,J,Bosnia & Herzegovina,France,0
1995,J,Bosnia & Herzegovina,Germany,0
1995,J,Bosnia & Herzegovina,Greece,0
1995,J,Bosnia & Herzegovina,Hungary,0
1995,J,Bosnia & Herzegovina,Iceland,0
1995,J,Bosnia & Herzegovina,Ireland,5
1995,J,Bosnia & Herzegovina,Israel,7
1995,J,Bosnia & Herzegovina,Malta,12
1995,J,Bosnia & Herzegovina,Norway,1
1995,J,Bosnia & Herzegovina,Poland,0
1995,J,Bosnia & Herzegovina,Portugal,0
1995,J,Bosnia & Herzegovina,Russia,0
1995,J,Bosnia & Herzegovina,Slovenia,6
1995,J,Bosnia & Herzegovina,Spain,8
1995,J,Bosnia & Herzegovina,Sweden,2
1995,J,Bosnia & Herzegovina,Turkey,0
1995,J,Bosnia & Herzegovina,United Kingdom,4
1995,J,Croatia,Austria,0
1995,J,Croatia,Belgium,0
1995,J,Croatia,Bosnia & Herzegovina,8
1995,J,Croatia,Cyprus,1
1995,J,Croatia,Denmark,0
1995,J,Croatia,France,3
1995,J,Croatia,Germany,0
1995,J,Croatia,Greece,7
1995,J,Croatia,Hungary,0
1995,J,Croatia,Iceland,0
1995,J,Croatia,Ireland,0
1995,J,Croatia,Israel,4
1995,J,Croatia,Malta,12
1995,J,Croatia,Norway,0
1995,J,Croatia,Poland,0
1995,J,Croatia,Portugal,0
1995,J,Croatia,Russia,6
1995,J,Croatia,Slovenia,2
1995,J,Croatia,Spain,10
1995,J,Croatia,Sweden,0
1995,J,Croatia,Turkey,5
1995,J,Croatia,United Kingdom,0
1995,J,Cyprus,Austria,0
1995,J,Cyprus,Belgium,0
1995,J,Cyprus,Bosnia & Herzegovina,0
1995,J,Cyprus,Croatia,5
1995,J,Cyprus,Denmark,0
1995,J,Cyprus,France,2
1995,J,Cyprus,Germany,0
1995,J,Cyprus,Greece,12
1995,J,Cyprus,Hungary,0
1995,J,Cyprus,Iceland,0
1995,J,Cyprus,Ireland,0
1995,J,Cyprus,Israel,8
1995,J,Cyprus,Malta,6
1995,J,Cyprus,Norway,7
1995,J,Cyprus,Poland,0
1995,J,Cyprus,Portugal,0
1995,J,Cyprus,Russia,1
1995,J,Cyprus,Slovenia,3
1995,J,Cyprus,Spain,10
1995,J,Cyprus,Sweden,4
1995,J,Cyprus,Turkey,0
1995,J,Cyprus,United Kingdom,0
1995,J,Denmark,Austria,10
1995,J,Denmark,Belgium,0
1995,J,Denmark,Bosnia & Herzegovina,3
1995,J,Denmark,Croatia,0
1995,J,Denmark,Cyprus,5
1995,J,Denmark,France,6
1995,J,Denmark,Germany,0
1995,J,Denmark,Greece,0
1995,J,Denmark,Hungary,0
1995,J,Denmark,Iceland,8
1995,J,Denmark,Ireland,1
1995,J,Denmark,Israel,0
1995,J,Denmark,Malta,4
1995,J,Denmark,Norway,2
1995,J,Denmark,Poland,0
1995,J,Denmark,Portugal,0
1995,J,Denmark,Russia,0
1995,J,Denmark,Slovenia,0
1995,J,Denmark,Spain,0
1995,J,Denmark,Sweden,12
1995,J,Denmark,Turkey,0
1995,J,Denmark,United Kingdom,7
1995,J,France,Austria,8
1995,J,France,Belgium,0
1995,J,France,Bosnia & Herzegovina,0
1995,J,France,Croatia,0
1995,J,France,Cyprus,0
1995,J,France,Denmark,0
1995,J,France,Germany,0
1995,J,France,Greece,5
1995,J,France,Hungary,0
1995,J,France,Iceland,2
1995,J,France,Ireland,1
1995,J,France,Israel,0
1995,J,France,Malta,6
1995,J,France,Norway,10
1995,J,France,Poland,0
1995,J,France,Portugal,4
1995,J,France,Russia,0
1995,J,France,Slovenia,0
1995,J,France,Spain,7
1995,J,France,Sweden,3
1995,J,France,Turkey,0
1995,J,France,United Kingdom,12
1995,J,Germany,Austria,0
1995,J,Germany,Belgium,0
1995,J,Germany,Bosnia & Herzegovina,0
1995,J,Germany,Croatia,0
1995,J,Germany,Cyprus,3
1995,J,Germany,Denmark,7
1995,J,Germany,France,8
1995,J,Germany,Greece,0
1995,J,Germany,Hungary,0
1995,J,Germany,Iceland,0
1995,J,Germany,Ireland,1
1995,J,Germany,Israel,10
1995,J,Germany,Malta,2
1995,J,Germany,Norway,4
1995,J,Germany,Poland,0
1995,J,Germany,Portugal,0
1995,J,Germany,Russia,0
1995,J,Germany,Slovenia,5
1995,J,Germany,Spain,6
1995,J,Germany,Sweden,12
1995,J,Germany,Turkey,0
1995,J,Germany,United Kingdom,0
1995,J,Greece,Austria,7
1995,J,Greece,Belgium,0
1995,J,Greece,Bosnia & Herzegovina,0
1995,J,Greece,Croatia,5
1995,J,Greece,Cyprus,8
1995,J,Greece,Denmark,0
1995,J,Greece,France,2
1995,J,Greece,Germany,0
1995,J,Greece,Hungary,0
1995,J,Greece,Iceland,0
1995,J,Greece,Ireland,4
1995,J,Greece,Israel,0
1995,J,Greece,Malta,0
1995,J,Greece,Norway,12
1995,J,Greece,Poland,3
1995,J,Greece,Portugal,1
1995,J,Greece,Russia,0
1995,J,Greece,Slovenia,10
1995,J,Greece,Spain,6
1995,J,Greece,Sweden,0
1995,J,Greece,Turkey,0
1995,J,Greece,United Kingdom,0
1995,J,Hungary,Austria,4
1995,J,Hungary,Belgium,0
1995,J,Hungary,Bosnia & Herzegovina,0
1995,J,Hungary,Croatia,0
1995,J,Hungary,Cyprus,12
1995,J,Hungary,Denmark,3
1995,J,Hungary,France,10
1995,J,Hungary,Germany,0
1995,J,Hungary,Greece,0
1995,J,Hungary,Iceland,0
1995,J,Hungary,Ireland,0
1995,J,Hungary,Israel,5
1995,J,Hungary,Malta,0
1995,J,Hungary,Norway,6
1995,J,Hungary,Poland,1
1995,J,Hungary,Portugal,0
1995,J,Hungary,Russia,0
1995,J,Hungary,Slovenia,8
1995,J,Hungary,Spain,2
1995,J,Hungary,Sweden,0
1995,J,Hungary,Turkey,0
1995,J,Hungary,United Kingdom,7
1995,J,Iceland,Austria,0
1995,J,Iceland,Belgium,0
1995,J,Iceland,Bosnia & Herzegovina,0
1995,J,Iceland,Croatia,10
